"breeder","sample","yr","reg_code","reg","loccode","loc","varcode","var","rep","mic","mat","uhml","ui","sf","str","elg","rd","plusb","yt","waste","nep_cnt","scn_cnt","l_n","sfc_n","l_w","sfc_w","uql_w","fine","ifc","mat_rat"
"60","3",16,11,"PLA",12,"Lubbock, TX(irri)",1441,"FM 2484B2F",1,4.56,0.86,1.19,82.4,7.8,33.5,7.6,82.7,7.5,"114.3","4.95",159,8,0.9,17,1.06,5.4,1.26,183,2.3,1.03
"60","4",16,11,"PLA",12,"Lubbock, TX(irri)",1441,"FM 2484B2F",2,4.75,0.86,1.17,84,7.3,33.1,7.9,83.7,8.5,"92.9","4.5199999999999996",247,8,0.82,20,0.98,7.4,1.17,182,3,1.02
"60","15",16,11,"PLA",12,"Lubbock, TX(irri)",1465,"NG 1511B2RF",1,5.21,0.86,1.12,85.1,7.1,32.4,10.2,80.5,8.8,"79.400000000000006","4.97",156,11,0.88,13,1.01,4.4,1.16,202,1.8,1.03
"60","16",16,11,"PLA",12,"Lubbock, TX(irri)",1465,"NG 1511B2RF",2,5.16,0.86,1.1,84.6,8.2,32.1,9.5,80.3,8.9,"85.7","4.8499999999999996",114,11,0.88,14,1.01,4.7,1.17,202,1.8,1.04
"60","11",16,11,"PLA",12,"Lubbock, TX(irri)",1468,"ST 4946GLB2",1,5.03,0.86,1.15,85.7,6.7,32.1,9.2,80,8.8,"104.8","4.17",114,11,0.91,14,1.04,4.5,1.21,201,2,1.05
"60","12",16,11,"PLA",12,"Lubbock, TX(irri)",1468,"ST 4946GLB2",2,4.84,0.85,1.1,84.3,8,33.7,10.1,80.2,8.8,"83.6","4.51",178,16,0.85,18,1,6.1,1.17,193,2.8,1.02
"60","9",16,11,"PLA",12,"Lubbock, TX(irri)",1475,"FM 2011GT",1,4.7,0.86,1.12,83.6,7.9,31.9,8,79.8,7.6,"99.3","4.6500000000000004",173,6,0.85,19,1.01,6.4,1.2,177,2.9,1.01
"60","10",16,11,"PLA",12,"Lubbock, TX(irri)",1475,"FM 2011GT",2,4.78,0.87,1.11,83,8.1,31.8,7.7,81.2,8.3,"80.5","5.58",156,12,0.85,18,1,5.9,1.18,181,3.1,1.02
"60","23",16,11,"PLA",163,"Lamesa, TX(dry)",1404,"PHY 499WRF",1,5.29,0.86,1.11,83.9,7.2,30.7,10.6,77,8.5,"101.1","3.93",128,16,0.91,11,1.02,3.6,1.16,201,1.6,1.02
"60","24",16,11,"PLA",163,"Lamesa, TX(dry)",1404,"PHY 499WRF",2,5.34,0.86,1.1,83.2,7.5,28.7,10.3,78,8.4,"76.900000000000006","6.29",243,26,0.87,15,0.99,5,1.14,202,2,1.02
"60","19",16,11,"PLA",163,"Lamesa, TX(dry)",1412,"DP 0912B2RF",1,5.78,0.87,1.07,82.4,8.6,28.9,10.4,77.3,8.4,"70","6.11",141,12,0.84,14,0.95,4.9,1.09,216,1.2,1.07
"60","20",16,11,"PLA",163,"Lamesa, TX(dry)",1412,"DP 0912B2RF",2,5.69,0.87,1.04,83.1,8.7,27.3,9.4,76.9,8.4,"76.099999999999994","6.2",122,16,0.84,15,0.96,5.3,1.11,214,1.4,1.06
"60","25",16,11,"PLA",163,"Lamesa, TX(dry)",1426,"Phy 725RF",1,5.02,0.86,1.15,83.6,8,34.3,9.3,76.2,9,"89.8","5.59",292,39,0.89,14,1.03,4.8,1.2,194,1.7,1.06
"60","26",16,11,"PLA",163,"Lamesa, TX(dry)",1426,"Phy 725RF",2,4.91,0.86,1.18,84.4,7.1,33.5,9,76.8,10,"91","4.91",283,36,0.85,16,0.98,6,1.16,187,2,1.04
"60","35",16,11,"PLA",163,"Lamesa, TX(dry)",1427,"DP 1044B2RF",1,5.39,0.86,1.12,84.3,6.7,28.3,9.7,79.5,8.9,"73.8","5.45",192,10,0.85,18,0.99,5.9,1.16,205,2.5,1
"60","36",16,11,"PLA",163,"Lamesa, TX(dry)",1427,"DP 1044B2RF",2,5.39,0.86,1.12,83.9,7.2,29,10.3,78.3,9.3,"75.8","4.68",129,6,0.86,16,0.99,5.3,1.15,205,2.4,1
"60","31",16,11,"PLA",163,"Lamesa, TX(dry)",1438,"All-Tex Nitro 44B2RF",1,4.61,0.85,1.23,84.4,6.3,34.2,9.1,79.2,8.6,"87.2","6.51",154,11,0.96,12,1.1,3.6,1.28,181,2.1,1.02
"60","32",16,11,"PLA",163,"Lamesa, TX(dry)",1438,"All-Tex Nitro 44B2RF",2,4.94,0.86,1.19,84.8,6.9,34.5,8.6,79.2,8.9,"81.599999999999994","18.420000000000002",167,12,0.92,12,1.06,3.8,1.22,190,1.8,1.03
"60","21",16,11,"PLA",163,"Lamesa, TX(dry)",1441,"FM 2484B2F",1,5.24,0.87,1.15,83.6,8,32.3,8.1,80.6,7.9,"92.9","4.7699999999999996",170,6,0.9,14,1.03,4.7,1.21,201,1.5,1.08
"60","22",16,11,"PLA",163,"Lamesa, TX(dry)",1441,"FM 2484B2F",2,5.02,0.87,1.18,83.2,7.6,33.1,8,80.1,8,"78.099999999999994","4.84",116,7,0.93,15,1.07,4.5,1.26,195,1.7,1.06
"60","33",16,11,"PLA",163,"Lamesa, TX(dry)",1465,"NG 1511B2RF",1,5.55,0.86,1,83.1,8.1,29.6,11.1,77.8,9.5,"100.7","5.1100000000000003",117,12,0.82,13,0.92,4.9,1.06,213,1.4,1.05
"60","34",16,11,"PLA",163,"Lamesa, TX(dry)",1465,"NG 1511B2RF",2,5.46,0.86,1.04,80,9.7,29.3,10.4,77,9.9,"74.900000000000006","17.670000000000002",140,9,0.83,15,0.95,5.2,1.11,205,2,1.03
"60","29",16,11,"PLA",163,"Lamesa, TX(dry)",1468,"ST 4946GLB2",1,5.47,0.87,1.1,83.6,6.8,32.9,9.6,76.5,10,"92.8","4.7",124,9,0.88,12,0.99,4.1,1.13,215,1.4,1.07
"60","30",16,11,"PLA",163,"Lamesa, TX(dry)",1468,"ST 4946GLB2",2,5.43,0.87,1.14,82.6,7.8,33.8,10,78.2,9.2,"82.2","4.9000000000000004",132,22,0.89,12,1,3.9,1.15,213,1.2,1.07
"60","27",16,11,"PLA",163,"Lamesa, TX(dry)",1475,"FM 2011GT",1,5.36,0.88,1.09,82.4,8.5,32.2,8.6,79.1,8.9,"97.3","5.08",182,16,0.83,15,0.95,5.6,1.12,198,1.9,1.06
"60","28",16,11,"PLA",163,"Lamesa, TX(dry)",1475,"FM 2011GT",2,5.27,0.88,1.13,83.8,6.8,31.7,7.7,78.9,8.5,"94.6","4.83",132,20,0.9,12,1.02,3.9,1.17,199,1.5,1.07
"29","5",16,12,"PLA",16,"Altus, OK(irri)",1404,"PHY 499WRF",1,4.59,0.85,1.18,85.7,7.2,29.8,9.3,68.7,7.4,"72","8.6999999999999993",130,14,0.87,19,1.03,6.3,1.22,177,3.6,0.96
"29","6",16,12,"PLA",16,"Altus, OK(irri)",1404,"PHY 499WRF",2,4.67,0.85,1.18,85,8.2,30.8,8.9,68.6,7.5,"73.3","8.9499999999999993",158,34,0.89,18,1.04,6,1.22,180,3.3,0.97
"29","1",16,12,"PLA",16,"Altus, OK(irri)",1412,"DP 0912B2RF",1,5.02,0.87,1.14,84,7.8,28.3,8,68.3,6.7,"80.900000000000006","23.7",136,25,0.86,17,1.01,6.1,1.18,191,3,1
"29","2",16,12,"PLA",16,"Altus, OK(irri)",1412,"DP 0912B2RF",2,5.1,0.87,1.12,82,9.4,27.1,7.9,66.5,6.9,"72.7","10.96",94,18,0.82,20,0.97,7.3,1.15,192,2.9,1
"29","7",16,12,"PLA",16,"Altus, OK(irri)",1426,"Phy 725RF",1,4.27,0.85,1.27,84.3,7.7,35.1,7.9,68.9,7.4,"88.7","10.45",118,23,0.92,18,1.09,5.9,1.32,168,3.1,0.99
"29","8",16,12,"PLA",16,"Altus, OK(irri)",1426,"Phy 725RF",2,4.43,0.85,1.25,85.9,7.2,34.5,8.4,68.8,7,"89.6","8.9499999999999993",124,24,0.92,16,1.08,5.3,1.27,174,3,1
"29","17",16,12,"PLA",16,"Altus, OK(irri)",1427,"DP 1044B2RF",1,4.34,0.84,1.17,84.3,8.2,28.6,9.4,68.1,7.3,"87.8","9.06",135,16,0.83,22,1,7.7,1.21,176,4.5,0.92
"29","18",16,12,"PLA",16,"Altus, OK(irri)",1427,"DP 1044B2RF",2,4.55,0.84,1.2,84.1,7.6,28.7,9.8,70,7,"72.599999999999994","9.6",168,24,0.85,21,1.02,7.1,1.23,182,4.3,0.92
"29","13",16,12,"PLA",16,"Altus, OK(irri)",1438,"All-Tex Nitro 44B2RF",1,3.71,0.84,1.27,84.4,7.6,32.9,8,68.2,7.2,"79.099999999999994","10.81",158,22,0.9,20,1.09,6.4,1.32,157,4.9,0.93
"29","14",16,12,"PLA",16,"Altus, OK(irri)",1438,"All-Tex Nitro 44B2RF",2,3.6,0.84,1.28,85.9,6.6,32.7,7.6,68.7,7.5,"88.6","14.32",176,25,0.91,20,1.1,6.5,1.33,155,4.6,0.93
"29","3",16,12,"PLA",16,"Altus, OK(irri)",1441,"FM 2484B2F",1,4.22,0.86,1.25,84.1,8.2,30.7,6.8,70.4,6.8,"89.2","9.81",114,13,0.91,18,1.08,5.8,1.3,170,3.4,0.99
"29","4",16,12,"PLA",16,"Altus, OK(irri)",1441,"FM 2484B2F",2,4.01,0.85,1.26,84.5,8.1,31.8,7,69.7,6.3,"83.3","9.6999999999999993",118,15,0.83,25,1.04,8.8,1.28,161,4.5,0.96
"29","15",16,12,"PLA",16,"Altus, OK(irri)",1465,"NG 1511B2RF",1,4.78,0.85,1.18,83.8,8.9,30.7,9.3,68.8,7,"84.9","10.95",104,16,0.88,17,1.03,5.8,1.22,179,3.6,0.96
"29","16",16,12,"PLA",16,"Altus, OK(irri)",1465,"NG 1511B2RF",2,4.78,0.86,1.17,84.3,7.9,29.1,8.8,68.9,6.8,"74","9.26",116,16,0.86,19,1.01,6.5,1.21,183,3.2,0.96
"29","11",16,12,"PLA",16,"Altus, OK(irri)",1468,"ST 4946GLB2",1,4.75,0.86,1.19,84.6,7.7,31.3,8.5,69.5,7.7,"78.599999999999994","9.5299999999999994",114,19,0.87,20,1.05,6.5,1.25,184,3.4,0.98
"29","12",16,12,"PLA",16,"Altus, OK(irri)",1468,"ST 4946GLB2",2,4.72,0.86,1.22,86.7,7,31.2,8.6,67.9,7.1,"78.2","9.3699999999999992",92,12,0.85,22,1.03,7.8,1.24,185,3.5,0.98
"29","9",16,12,"PLA",16,"Altus, OK(irri)",1475,"FM 2011GT",1,4.86,0.87,1.22,86.2,7,31.1,6.8,70.6,7,"89.2","9.8000000000000007",102,18,0.86,20,1.03,6.9,1.24,174,3.8,0.99
"29","10",16,12,"PLA",16,"Altus, OK(irri)",1475,"FM 2011GT",2,4.75,0.87,1.2,85,7.1,32.3,7.2,69.4,6.1,"98.5","8.98",104,21,0.92,16,1.07,5.2,1.26,186,2.5,1.03
"58","5",16,20,"EAS",36,"Florence, SC",1404,"PHY 499WRF",1,4.42,0.85,1.1,84.8,7.9,32,8.4,66.4,9.3,"79","11.43",120,14,0.79,22,0.94,8.1,1.12,186,3.8,0.97
"58","6",16,20,"EAS",36,"Florence, SC",1404,"PHY 499WRF",2,4.87,0.86,1.14,85.8,6.9,32.4,8.5,69.8,9,"77.8","9.42",120,14,0.86,17,1,5.6,1.17,190,2.6,0.99
"58","1",16,20,"EAS",36,"Florence, SC",1412,"DP 0912B2RF",1,4.87,0.86,1.07,82.8,8.2,29,7.8,69.1,8.2,"75.099999999999994","10.3",206,36,0.76,24,0.91,9.1,1.09,193,4.1,0.97
"58","2",16,20,"EAS",36,"Florence, SC",1412,"DP 0912B2RF",2,4.77,0.86,1.11,84.3,7.8,28.5,8.1,69.2,8.8,"87.5","12.14",104,14,0.84,18,0.98,6.1,1.15,194,3.3,1
"58","7",16,20,"EAS",36,"Florence, SC",1426,"Phy 725RF",1,4.27,0.85,1.17,85.5,7.4,33.9,7.8,64,9.5,"86.2","13.35",158,12,0.87,17,1.02,6,1.21,173,3.2,0.98
"58","8",16,20,"EAS",36,"Florence, SC",1426,"Phy 725RF",2,4.42,0.85,1.17,85.6,7,34.5,8.3,68.7,9.3,"72.900000000000006","10.039999999999999",116,16,0.87,16,1.02,5.5,1.19,175,3.2,0.98
"58","3",16,20,"EAS",36,"Florence, SC",1441,"FM 2484B2F",1,4.23,0.85,1.17,84,7.7,33.9,7.3,69.6,8,"76.099999999999994","11.5",121,21,0.83,20,0.99,7.1,1.18,177,3.1,1
"58","4",16,20,"EAS",36,"Florence, SC",1441,"FM 2484B2F",2,3.98,0.85,1.2,83.8,8.2,31.5,6.5,69.6,7.6,"83.7","10.63",123,18,0.87,19,1.05,6.3,1.25,173,3.3,1
"58","27",16,20,"EAS",36,"Florence, SC",1459,"PHY 444WRF",1,3.86,0.85,1.24,86.2,7.3,34,7.3,69.6,8.4,"92","11.44",130,8,0.89,20,1.07,6.5,1.29,169,4.3,0.95
"58","28",16,20,"EAS",36,"Florence, SC",1459,"PHY 444WRF",2,3.64,0.84,1.27,83.7,7.7,31.6,7,68.2,8,"77.7","12.38",139,15,0.9,21,1.09,6.7,1.31,164,5,0.95
"58","23",16,20,"EAS",36,"Florence, SC",1468,"ST 4946GLB2",1,4.37,0.85,1.11,84.5,7.7,30.3,8.5,69.6,8.5,"75.099999999999994","11.22",159,15,0.81,21,0.96,7.4,1.14,178,4.5,0.95
"58","24",16,20,"EAS",36,"Florence, SC",1468,"ST 4946GLB2",2,4.22,0.85,1.13,83.9,7.9,29.6,8.2,67.9,8.9,"79","10.26",86,15,0.85,17,1,5.8,1.17,178,3.3,0.97
"58","29",16,20,"EAS",36,"Florence, SC",1478,"PHY 333WRF",1,4.2,0.85,1.17,84.7,8.5,30.7,7.6,67.4,9.3,"96.6","11.66",103,21,0.9,16,1.06,5.3,1.24,180,3.5,0.98
"58","30",16,20,"EAS",36,"Florence, SC",1478,"PHY 333WRF",2,4.32,0.86,1.18,84.5,8.2,32,7.3,69.8,9.1,"76.400000000000006","10.25",133,22,0.85,19,1.02,6.4,1.2,180,3.7,0.96
"58","25",16,20,"EAS",36,"Florence, SC",1502,"PHY 552WRF",1,4.1,0.85,1.18,85.9,6.7,32.3,7.8,69.1,8.3,"93.1","9.4",116,26,0.87,18,1.03,5.7,1.21,168,4,0.94
"58","26",16,20,"EAS",36,"Florence, SC",1502,"PHY 552WRF",2,4.31,0.85,1.15,86.1,6.9,32.3,7.5,68.6,7.7,"82.8","12.21",121,26,0.86,18,1,6.3,1.18,173,4,0.96
"58","21",16,20,"EAS",36,"Florence, SC",1511,"ST 6182GLT",1,4.77,0.86,1.1,83.5,8.6,27.2,7.6,70,8.8,"83.5","12.51",124,18,0.81,19,0.95,6.8,1.12,180,3.7,0.95
"58","22",16,20,"EAS",36,"Florence, SC",1511,"ST 6182GLT",2,4.44,0.85,1.18,86.1,7.5,29.5,7.9,69.8,8.9,"74.400000000000006","10.75",123,15,0.87,17,1.01,5.6,1.18,181,3.3,0.96
"58","13",16,20,"EAS",36,"Florence, SC",1516,"DP 1646B2XF",1,4.44,0.85,1.24,84.7,7.6,30.3,8.4,71.7,7.6,"94.4","11.39",118,9,0.91,18,1.09,5.8,1.3,175,3.7,0.96
"58","14",16,20,"EAS",36,"Florence, SC",1516,"DP 1646B2XF",2,4.27,0.85,1.24,84.2,7.5,30.7,8.2,71.2,7.8,"84.2","9.84",146,24,0.85,23,1.04,7.6,1.25,167,5,0.92
"58","17",16,20,"EAS",36,"Florence, SC",1517,"DP 1614B2XF",1,4.94,0.86,1.15,85.1,7.2,30.6,9,68.6,9,"58.6","11.05",84,18,0.88,17,1.02,5.4,1.19,188,3.1,0.98
"58","18",16,20,"EAS",36,"Florence, SC",1517,"DP 1614B2XF",2,4.64,0.86,1.18,84.3,7.8,31.2,8.5,68.2,8.8,"94.2","12.81",111,23,0.89,16,1.04,5.2,1.23,186,3,0.97
"58","19",16,20,"EAS",36,"Florence, SC",1518,"ST 4848GLT",1,4.7,0.86,1.11,83.6,8.2,28.7,7.8,65.1,9.2,"73.599999999999994","11.43",123,8,0.81,21,0.97,7.3,1.15,185,4.4,0.95
"58","20",16,20,"EAS",36,"Florence, SC",1518,"ST 4848GLT",2,4.37,0.86,1.21,85,7.2,32.5,6.8,69.8,7.5,"88.5","13.74",144,20,0.87,18,1.02,6.3,1.22,171,3.3,0.98
"58","9",16,20,"EAS",36,"Florence, SC",1525,"DG 326B2XF",1,4.55,0.85,1.11,84.7,8.2,27.5,9,69.8,8.8,"63.5","10.48",126,14,0.83,20,0.97,7,1.14,184,4.1,0.93
"58","10",16,20,"EAS",36,"Florence, SC",1525,"DG 326B2XF",2,4.62,0.85,1.11,84,7.9,28,8.5,68.2,9,"68.900000000000006","11.37",151,16,0.81,20,0.96,7.5,1.13,185,4.2,0.93
"58","11",16,20,"EAS",36,"Florence, SC",1526,"DG 3757B2XF",1,4.43,0.85,1.15,84.9,7.6,26.8,8.2,69.4,8.7,"72.3","9.4499999999999993",127,20,0.87,17,1,5.8,1.19,179,4.3,0.92
"58","12",16,20,"EAS",36,"Florence, SC",1526,"DG 3757B2XF",2,4.57,0.86,1.14,84.8,7.5,29.4,8.1,68.1,8.6,"69","11.23",114,9,0.85,17,1,5.9,1.16,183,4.1,0.93
"58","15",16,20,"EAS",36,"Florence, SC",1527,"DP 1639B2XF",1,4.84,0.86,1.11,85.4,7.4,31.8,9,69,8.9,"72.5","12.47",104,30,0.85,16,0.97,5.7,1.13,191,3.3,0.96
"58","16",16,20,"EAS",36,"Florence, SC",1527,"DP 1639B2XF",2,4.81,0.86,1.11,85.1,8.3,33.8,9,69,8.8,"82.8","12.27",120,22,0.87,14,1,5,1.16,190,3,0.96
"61","5",16,20,"EAS",37,"Rocky Mount, NC",1404,"PHY 499WRF",1,5.34,0.87,1.13,85.7,6.6,34.8,9.1,75.1,8.7,"86.8","4.72",59,3,0.88,15,1.01,4.8,1.16,195,2.3,1.02
"61","6",16,20,"EAS",37,"Rocky Mount, NC",1404,"PHY 499WRF",2,5.24,0.87,1.13,86.7,6.7,32.5,8.3,74.4,8.8,"116.2","4.55",76,10,0.91,13,1.03,4,1.18,201,1.7,1.04
"61","1",16,20,"EAS",37,"Rocky Mount, NC",1412,"DP 0912B2RF",1,5.2,0.87,1.06,83,8.9,28.6,8.2,73.8,8.2,"77.099999999999994","11.07",104,4,0.78,20,0.91,7.5,1.09,197,2.7,1.01
"61","2",16,20,"EAS",37,"Rocky Mount, NC",1412,"DP 0912B2RF",2,5.21,0.87,1.1,85,7.7,30.9,7.9,77.8,9.1,"96.5","4.4400000000000004",68,8,0.88,13,1,4.2,1.15,195,2.1,1.03
"61","7",16,20,"EAS",37,"Rocky Mount, NC",1426,"Phy 725RF",1,4.91,0.87,1.21,87.3,6.9,35.6,7.9,74.9,9.1,"97.3","3.64",82,8,0.95,11,1.07,3.5,1.23,184,1.5,1.05
"61","8",16,20,"EAS",37,"Rocky Mount, NC",1426,"Phy 725RF",2,4.89,0.87,1.18,85.7,6.9,33.5,8,74.3,9.2,"84.4","3.86",117,12,0.88,16,1.04,5.4,1.22,180,2.5,1.02
"61","3",16,20,"EAS",37,"Rocky Mount, NC",1441,"FM 2484B2F",1,5.05,0.88,1.15,85.2,8.2,34.7,6.8,79.4,7.6,"85.7","5.12",101,10,0.9,14,1.04,4.5,1.21,190,1.8,1.05
"61","4",16,20,"EAS",37,"Rocky Mount, NC",1441,"FM 2484B2F",2,4.97,0.88,1.21,85.8,6.9,34.9,6.9,81,7.4,"88.6","4.59",94,10,0.94,12,1.07,3.8,1.24,188,1.6,1.05
"61","27",16,20,"EAS",37,"Rocky Mount, NC",1459,"PHY 444WRF",1,4.54,0.86,1.29,88.3,6.1,33.1,7,78.5,8.7,"105.7","5",108,7,1.01,12,1.15,3.4,1.33,179,2.6,1
"61","28",16,20,"EAS",37,"Rocky Mount, NC",1459,"PHY 444WRF",2,4.72,0.87,1.25,87.7,6.8,33.4,7.2,77.5,8.4,"83.6","6.39",71,5,1.01,12,1.15,3.5,1.33,184,2.8,1.01
"61","23",16,20,"EAS",37,"Rocky Mount, NC",1468,"ST 4946GLB2",1,5.02,0.87,1.12,85.1,7.8,31.4,8.2,75.4,8.7,"80.900000000000006","3.33",82,11,0.88,15,1.01,5,1.17,196,2.8,1.01
"61","24",16,20,"EAS",37,"Rocky Mount, NC",1468,"ST 4946GLB2",2,5.32,0.87,1.17,85.8,6.1,31.9,8.1,77.2,8.8,"81.900000000000006","5.54",58,3,0.92,13,1.05,4.1,1.21,199,2.3,1.01
"61","29",16,20,"EAS",37,"Rocky Mount, NC",1478,"PHY 333WRF",1,4.88,0.87,1.23,86.3,7,34.9,7.4,75,8.9,"83.3","6.28",60,4,0.96,14,1.1,4.2,1.27,185,2.9,0.99
"61","30",16,20,"EAS",37,"Rocky Mount, NC",1478,"PHY 333WRF",2,5.03,0.88,1.2,86.5,7.2,31.1,6.9,74.8,8.9,"73.099999999999994","5.14",70,9,0.9,16,1.05,5.3,1.23,194,3.3,1
"61","25",16,20,"EAS",37,"Rocky Mount, NC",1502,"PHY 552WRF",1,5.1,0.88,1.17,87.7,6.1,35.3,7.2,79.3,8,".",".",64,2,0.96,11,1.08,3.3,1.24,190,2,1.03
"61","26",16,20,"EAS",37,"Rocky Mount, NC",1502,"PHY 552WRF",2,4.88,0.87,1.19,87.2,6.5,33.2,7.4,79.3,8.2,"100.3","3.49",64,11,0.99,10,1.11,3,1.26,186,2.1,1.01
"61","21",16,20,"EAS",37,"Rocky Mount, NC",1511,"ST 6182GLT",1,5.33,0.88,1.14,84.9,7.3,30.7,7.2,76.3,8.6,"99.1","4.93",37,6,0.93,11,1.05,3.5,1.19,195,2.2,1.01
"61","22",16,20,"EAS",37,"Rocky Mount, NC",1511,"ST 6182GLT",2,5.7,0.89,1.09,84.4,7.5,28.4,7.6,74.6,8.6,"79","5.85",106,14,0.81,18,0.94,6.7,1.1,200,2.7,1
"61","13",16,20,"EAS",37,"Rocky Mount, NC",1516,"DP 1646B2XF",1,5.27,0.87,1.17,84.2,7.6,30.3,8.1,78.8,7.8,"106.8","4.32",113,7,0.88,16,1.03,5.2,1.2,195,2.3,1.02
"61","14",16,20,"EAS",37,"Rocky Mount, NC",1516,"DP 1646B2XF",2,5.13,0.87,1.28,88.3,5.8,29.6,8.3,79.9,8.4,"89.7","13.7",94,4,0.94,15,1.1,4.7,1.28,194,2.2,1.02
"61","17",16,20,"EAS",37,"Rocky Mount, NC",1517,"DP 1614B2XF",1,5.62,0.88,1.16,86,7,33.3,8.9,78.2,9,"78.8","4.08",73,5,0.96,11,1.07,3.3,1.22,211,1.3,1.06
"61","18",16,20,"EAS",37,"Rocky Mount, NC",1517,"DP 1614B2XF",2,5.8,0.88,1.14,85.7,7.2,32.4,9.2,78.6,9.2,"78.400000000000006","4.1100000000000003",66,14,0.93,11,1.04,3.5,1.18,216,1.1,1.07
"61","19",16,20,"EAS",37,"Rocky Mount, NC",1518,"ST 4848GLT",1,5.29,0.88,1.14,85.3,7,30.3,7.4,78.5,9.2,"82.6","3.07",90,16,0.89,14,1.01,4.3,1.15,201,2.1,1.03
"61","20",16,20,"EAS",37,"Rocky Mount, NC",1518,"ST 4848GLT",2,5.63,0.88,1.07,85.1,8.1,29.7,7.8,77.2,9.8,"83.3","5.23",58,5,0.84,15,0.96,4.9,1.1,216,1.6,1.05
"61","9",16,20,"EAS",37,"Rocky Mount, NC",1525,"DG 326B2XF",1,5.66,0.87,1.07,84.3,8.2,28.8,9.2,78,9.1,"58.5","19.78",68,4,0.86,12,0.95,4.3,1.08,203,1.9,1.01
"61","10",16,20,"EAS",37,"Rocky Mount, NC",1525,"DG 326B2XF",2,5.32,0.87,1.13,86.2,6.4,29.3,9.3,74.7,9,"60.7","6.23",72,4,0.9,12,1.01,4,1.15,201,2.1,1
"61","11",16,20,"EAS",37,"Rocky Mount, NC",1526,"DG 3757B2XF",1,5.46,0.88,1.08,85.4,7.2,29.1,8.1,76.7,9.1,"63.4","5.12",86,9,0.87,13,0.97,4.6,1.11,204,1.9,1.04
"61","12",16,20,"EAS",37,"Rocky Mount, NC",1526,"DG 3757B2XF",2,5.33,0.88,1.12,83.1,8.6,27.4,7.6,75.1,8.9,"72","3.73",111,8,0.86,16,1,5.5,1.16,199,2.6,1
"61","15",16,20,"EAS",37,"Rocky Mount, NC",1527,"DP 1639B2XF",1,5.63,0.88,1.08,85.1,7.5,32,8.5,78.3,8.8,"99.9","4.5199999999999996",53,9,0.91,10,1,3.3,1.14,214,1.3,1.05
"61","16",16,20,"EAS",37,"Rocky Mount, NC",1527,"DP 1639B2XF",2,5.76,0.89,1.08,84.3,7.4,33.1,8.2,77.4,8.9,"91.9","4.5",102,26,0.85,16,0.97,5.6,1.13,209,2.2,1.03
"12","5",16,20,"EAS",67,"Starkville, MS",1404,"PHY 499WRF",1,3.94,0.84,1.13,84.2,7.8,30.9,8.1,77.9,8.5,"71.599999999999994","6.02",112,8,0.87,16,1,5.4,1.16,178,3.1,1
